mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07397613525390626,0.011228874351866768,0.010199213027954101,0.0016014399626208195,gbtree,0.6,0.5,2,1,100,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 100}",0.9213441230486685,0.9105544077134985,0.8796487603305785,0.9413165748393022,0.960342056932966,0.9226411845730027,0.027445389645588132,1168
0.11722168922424317,0.004812312410535501,0.008703088760375977,0.0007550898896936783,gbtree,0.6,0.5,2,1,250,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 250}",0.9562959136822773,0.949007116620753,0.9416896235078054,0.9648760330578513,0.9822084481175389,0.9588154269972453,0.013998631560986083,1096
0.20036931037902833,0.005416144032322044,0.00921783447265625,0.0002559711698140821,gbtree,0.6,0.5,2,1,500,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 500}",0.9647899449035813,0.9609159779614325,0.9601698806244261,0.971131772268136,0.9871728650137741,0.9688360881542699,0.009957008835669554,946
0.0524238109588623,0.0017889393835046794,0.008198833465576172,0.0009853980870764528,gbtree,0.6,0.5,2,3,100,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 100}",0.9213441230486685,0.9105544077134985,0.8796487603305785,0.9413165748393022,0.960342056932966,0.9226411845730027,0.027445389645588132,1168
0.11275911331176758,0.006045293662990358,0.007997560501098632,0.0006349024430333209,gbtree,0.6,0.5,2,3,250,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 250}",0.9562959136822773,0.949007116620753,0.9416896235078054,0.9648760330578513,0.9822084481175389,0.9588154269972453,0.013998631560986083,1096
0.19929661750793456,0.006700393442923899,0.010205364227294922,0.0007537960975058115,gbtree,0.6,0.5,2,3,500,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 500}",0.9647899449035813,0.9609159779614325,0.9601698806244261,0.971131772268136,0.9871728650137741,0.9688360881542699,0.009957008835669554,946
0.05172915458679199,0.004852268025673092,0.0078028678894042965,0.00040083345614828106,gbtree,0.6,0.5,2,5,100,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 100}",0.9213441230486685,0.9105544077134985,0.8796487603305785,0.9413165748393022,0.960342056932966,0.9226411845730027,0.027445389645588132,1168
0.10954279899597168,0.00543798321891229,0.008396387100219727,0.00048307828633736795,gbtree,0.6,0.5,2,5,250,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 250}",0.9562959136822773,0.949007116620753,0.9416896235078054,0.9648760330578513,0.9822084481175389,0.9588154269972453,0.013998631560986083,1096
0.19089241027832032,0.010874307021626535,0.011426448822021484,0.004874380370493498,gbtree,0.6,0.5,2,5,500,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 500}",0.9646751606978881,0.9609159779614325,0.960342056932966,0.971131772268136,0.9867711202938476,0.968767217630854,0.009788788043530304,950
0.061120128631591795,0.002473170063257638,0.009471273422241211,0.006221373964237921,gbtree,0.6,0.5,5,1,100,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100}",0.9272842056932966,0.9110996326905417,0.8790461432506887,0.9433252984389349,0.9615759871441689,0.9244662534435262,0.028221940856847764,1144
0.12367749214172363,0.007399733976497654,0.007129955291748047,0.007259248413606083,gbtree,0.6,0.5,5,1,250,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 250}",0.9571854912764004,0.946252295684114,0.9366104224058769,0.9643595041322314,0.982208448117539,0.9573232323232324,0.015622984295167048,1118
0.24097723960876466,0.014303521186283877,0.005694675445556641,0.006027624434055183,gbtree,0.6,0.5,5,1,500,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 500}",0.9641012396694215,0.9585915977961432,0.9603707529843893,0.971676997245179,0.9853363177226814,0.9680153810835629,0.009756954567939588,1016
0.06899461746215821,0.0046095616905435345,0.009570646286010741,0.0019197435883559733,gbtree,0.6,0.5,5,3,100,"{'booster': 'gbtree', 'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100}",0.9275137741046833,0.9119605142332415,0.8790461432506887,0.9385617539026629,0.9615759871441689,0.9237316345270891,0.0275745696215536,1156
