mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_n_jobs,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0024965763092041015,0.00044027391434579757,0.003189373016357422,0.0006889604810912257,0.0001,200,-1,l1,liblinear,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,229
0.0005630970001220704,0.00015340840743830958,0.0,0.0,0.0001,200,-1,l1,sag,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'sag'}",,,,,,,,241
0.016713905334472656,0.0006392689471937475,0.004223918914794922,0.00031976767379775857,0.0001,200,-1,l1,saga,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,229
0.01747612953186035,0.0007434987329330692,0.004457664489746094,0.0006932021626499385,0.0001,200,-1,l2,lbfgs,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9829545454545454,0.9463383838383838,0.9782770890725436,0.9720787419651056,0.957328971533517,0.967395546372819,0.013617362210821864,219
0.019893646240234375,0.004459929119000137,0.00451502799987793,0.0008343731230126392,0.0001,200,-1,l2,newton-cg,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9829545454545454,0.9463383838383839,0.9782770890725436,0.9720787419651056,0.957328971533517,0.9673955463728191,0.01361736221082183,211
0.017494821548461915,0.0017584024585250069,0.004026556015014648,0.00032927304872486306,0.0001,200,-1,l2,newton-cholesky,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.9829545454545454,0.9463383838383839,0.9782770890725436,0.9720787419651056,0.957328971533517,0.9673955463728191,0.01361736221082183,211
0.0024841785430908202,0.0006559999508854731,0.002401447296142578,0.00058081554399142,0.0001,200,-1,l2,liblinear,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9781336088154269,0.9343434343434344,0.9734561524334252,0.9644455922865014,0.9479740587695134,0.9596705693296602,0.016321759088384333,226
0.01638164520263672,0.0005914307328015987,0.0038040637969970702,0.00025077784173833923,0.0001,200,-1,l2,sag,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",0.9829545454545454,0.9463383838383838,0.9779901285583104,0.9720787419651056,0.957328971533517,0.9673381542699724,0.013571908478879832,225
0.019591140747070312,0.0025438151268258346,0.004288434982299805,0.00037800337519297914,0.0001,200,-1,l2,saga,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'saga'}",0.9829545454545454,0.9463383838383838,0.9782196969696969,0.9720787419651056,0.957328971533517,0.9673840679522497,0.013608206154749896,223
0.0007093906402587891,0.00015991547233834593,0.0,0.0,0.0001,200,-1,elasticnet,lbfgs,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,,,241
