Shared_Markers,k0,k1,k2,Share_allele,Value,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10,True_positive
14,1,9,5,19,70.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,047601,S,017801,F,1.845098040014257,0.0
15,0,8,7,22,893180000.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,1000000+,069701,S,069701,F,8.950938989828325,2.0
15,0,8,7,22,400.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100-999,027601,F,027601,S,2.6020599913279625,1.0
15,0,6,9,24,200000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,020201,S,020201,F,5.301029995663981,1.0
14,1,9,5,19,1.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,121202,S,126402,F,0.0,0.0
15,0,8,7,22,200000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-30,30:720,100000-999999,118801,S,118801,F,5.301029995663981,2.0
14,1,10,4,18,3.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-97,97:653,0-99,110601,F,138402,F,0.4771212547196624,0.0
14,1,7,7,21,2.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,102402,F,096902,S,0.3010299956639812,0.0
14,1,9,5,19,20.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,013402,F,093602,S,1.3010299956639813,0.0
15,0,8,7,22,96663.3,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,10000-99999,123601,S,123601,F,4.985261617487389,2.0
